,,,,,,
,,,,,,
"Filtrada","Rede pública","Rede pública","Rede pública; Fossa","Sim","Prédio escolar","Prédio escolar"
"Não filtrada","Cacimba/Cisterna/Poço","Rede pública","Fossa","Sim","Prédio escolar","Prédio escolar"
,,,,,,
"Filtrada","Rede pública; Cacimba/Cisterna/Poço","Rede pública","Fossa","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública","Rede pública","Fossa","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública","Rede pública","Fossa","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública; Poço artesiano","Rede pública","Fossa","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública","Rede pública","Rede pública","Sim","Prédio escolar","Prédio escolar"
,,,,,,
"Filtrada","Rede pública","Rede pública","Fossa","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública","Rede pública","Rede pública","Não","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública","Rede pública","Rede pública","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública","Rede pública","Rede pública","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública; Poço artesiano","Rede pública","Rede pública","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública","Rede pública","Rede pública","Sim","Prédio escolar","Prédio escolar"
,,,,,,
,,,,,,
,,,,,,
"Filtrada","Rede pública; Cacimba/Cisterna/Poço","Rede pública","Rede pública","Sim","Prédio escolar; Outros","Prédio escolar; Outros"
"Filtrada","Rede pública","Rede pública","Rede pública","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública","Rede pública","Fossa","Sim","Prédio escolar; Outros","Prédio escolar; Outros"
"Filtrada","Rede pública","Rede pública","Rede pública","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública","Rede pública","Rede pública","Não","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública","Rede pública","Rede pública","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública","Rede pública","Rede pública","Sim","Prédio escolar; Outros","Prédio escolar; Outros"
,,,,,,
,,,,,,
"Filtrada","Rede pública","Rede pública","Rede pública; Fossa","Não","Prédio escolar","Prédio escolar"
,,,,,,
,,,,,,
,,,,,,
"Filtrada","Rede pública","Rede pública","Fossa","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Poço artesiano","Rede pública","Fossa","Sim","Salas de empresa; Prédio escolar","Salas de empresa; Prédio escolar"
"Filtrada","Rede pública","Rede pública","Rede pública","Sim","Prédio escolar","Prédio escolar"
,,,,,,
"Filtrada","Rede pública","Rede pública","Rede pública","Sim","Prédio escolar","Prédio escolar"
"Filtrada","Rede pública; Poço artesiano","Rede pública","Fossa","Sim","Prédio escolar","Prédio escolar"
,,,,,,
,,,,,,
