"26107600","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26178079","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26108275","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26088886","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26113333","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26108046","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26111195","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26127741","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26081849","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26014564","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26163039","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26054914","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26155559","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26116391","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26120992","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26121751","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26054914","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26109115","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26060124","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26120992","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26120208","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26118181","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26113279","","","","","","",""
"26107961","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26127415","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26107945","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26125404","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26172712","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26127695","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26107600","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26111195","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26118742","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26525810","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26064618","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26120992","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26115441","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
"26122839","Filtrada","Rede pública","Rede pública","Fossa","Sim","Sim","Prédio escolar"
